Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Upper Lochsa Land Exchange Project  Proposes to Exchange National Forest System Land for approximately 39 371 Acres of western Pacific Timber Land  Federal Land Exchange  Clearwater  Nez Perce and Idaho Panhandle National Forests  Clearwater  Latah  Idaho   Benewah  Kootenai and Bonner Counties  ID,Draft,02/22/2011,11/26/2010,Forest Service,,ID
Stillwater Mining Revised Water Management Plans and BOE Ranch LAD  Implementation  Stillwater and Nye Counties  MT,Draft,02/23/2011,11/26/2010,Forest Service,,MT
Brunswick Naval Air Station  Disposal and Reuse  Implementation  Brunswick  ME,Final,12/27/2010,11/26/2010,United States Navy,,ME
Savannah Harbor Expansion Project  Navigation Improvement to the Federal Navigation Channel  Chatham County  GA and Jasper County  SC,Draft,01/28/2011,11/26/2010,U.S. Army Corps of Engineers,,GA
U.S. Steel Keetac Taconite Mine Expansion Project  Propose to Restart an Idled Production Line and Expand Contiguous Sections of the Open Pit Iron Ore Mine   located  near Keewatin  Itasca and St. Louis Counties  MN,Final,12/20/2010,11/19/2010,U.S. Army Corps of Engineers,,NM
Hatcher Pass Recreation Area Access Trails  and Transit Facilities  To Develop Transportation Access and Transit-Related Infrastructure  Northern and Southern Areas  Hatcher Pass  AK,Final,12/15/2010,11/19/2010,Federal Transit Administration,,AK
Ferguson Slide Permanent Restoration Project  Proposes to Restore Full Highway Access along State Route 140 from 8 miles east of Briceburg to 7.6 miles west of El Portal in Mariposa County  CA,Draft,01/13/2011,11/19/2010,Federal Highway Administration,,CA
Cape Hatteras National Seashore Off-Road Vehicle Management Plan  Implementation  NC,Final,12/17/2010,11/19/2010,National Park Service,,NC
Tonopah Solar Energy Crescent Dunes Solar Energy Project  a 7 680-Acre Right-of-Way (ROW) on Public Lands to Construct a Concentrated Solar Thermal Power Plant Facility  Nye County  NV,Final,12/15/2010,11/19/2010,Bureau of Land Management,,NV
Southern California Edison's Eldorado-Ivanpah Transmission Line Project  Construction and Operation  Right-of-Way Application  Clark County  NV and San Bernardino County  CA,Final,01/19/2011,11/19/2010,Bureau of Land Management,,CA
Tier-2 DEIS - Smithsonian Institution National Museum of African American History and Culture (NMAAHC)  Construction and Operation  Between 14th and 15th Streets NW and Constitution Avenue  NW and Madison Drive  NW  Washington  DC,Second Draft,01/10/2011,11/12/2010,National Capital Planning Commission,,DC
PROGRAMMATIC  - Incorporation of the Revised Washington Shoreline Management Act Guidelines into the Federally Approved Washington Coastal Management Program  Amendment No. 4 Approval  Coastal Counties in WA,Final,12/13/2010,11/12/2010,National Oceanic and Atmospheric Administration,,WA
East Link Rail Transit Project  New and Update Information   Proposes to Construct and Operate an Extension of the Light Rail System from downtown Seattle to Mercer Island  Bellevue  and Redmond via Interstate 90  Funding and US Army COE Section 404 and 10 Permits  Seattle  WA,Draft Supplement,01/07/2011,11/12/2010,Federal Transit Administration,,WA
Warm Springs Habitat Enhancement Project  Restoring and Promoting Key Wildlife Habitat Components by Managing Vegetation  Reducing   Fuels  and Promoting a more Resilient  Fire Adapted Ecosystem  Helena Ranger District  Helena National Forest  Jefferson County  MT,Draft,12/16/2010,11/12/2010,Forest Service,,MT
Twin Ghost Project  Proposes to Implement Vegetation and Transportation Management Activities  Great Divide Ranger District  Chequamegon-Nicolet National Forest  Ashland  Bayfield  Sawyer Counties  WI,Final,12/10/2010,11/12/2010,Forest Service,,WI
PROGRAMMATIC - Growth  Realignment  and Stationing of Army Aviation Assets  Evaluates Environmental Impacts of Stationing Army Combat Aviation Brigade at Fort Carson  CO and Joint Base Lewis-McChord  WA,Draft,12/15/2010,11/05/2010,United States Army,,CO
Martin County  Florida Hurricane and Storm Damage Reduction Project  Beach Nourishment Project Authorizes Construction of a Protective and Recreational Beach Along 4 Miles of Shorefront  Hutchinson Island  Martin County  FL,Draft Supplement,12/07/2010,11/05/2010,U.S. Army Corps of Engineers,,FL
I-25/Paseo del Norte Interchange Project  To Reduce Congestion and to Improve Safety  Albuquerque    Bernalillo County  NM,Draft,12/17/2010,11/05/2010,Federal Highway Administration,,NM
Suisun Marsh Habitat Management   Preservation  and Restoration Plan  Implementation  CA,Draft,01/13/2011,11/05/2010,Bureau of Reclamation,,CA
Plumas National Forest Public Motorized Travel Management   Implementation  Plumas National Forest  Plumas  Lassen  Yuba  Butte and Sierra Counties  CA,Final,12/06/2010,11/05/2010,Forest Service,,CA
Dosewallips Road Washout Project  To Reestablish Road Access  to both Forest Service Road (FSR) 2610 and Dosewallips Road  Hood Canal Ranger District Olympic National Forest  Olympic National Park  Jefferson County  WA,Final,01/03/2011,11/05/2010,Forest Service,,WA
Sequoyah Nuclear Plants Units 1 and 2  Application for  License Renewal  Implemention  Hamilton County  TN,Draft Supplement,12/10/2010,11/05/2010,Tennessee Valley Authority,,TN
Odessa Subarea Special Study  To Replace Groundwater Currently Used for Irragation  Grant  Adams  Walla Walla and Franklin Counties  WA,Draft,01/31/2011,11/05/2010,Bureau of Reclamation,,WA
Helena Bypass Project  Proposal to Construct a Bypass from County Road 51 in Helena to State Route 261 near Bearden Road  Shelby County  AL,Draft,12/20/2010,11/05/2010,Federal Highway Administration,,AL
Medium - and Heavy - Duty Fuel Efficiency Improvement Program  Proposing Coordinated and Harmonized Fuel Consumption and Greenhouse Gas (GHG) Emissions Standards  United States,Draft,01/03/2011,10/29/2010,National Highway Traffic Safety Administration,,
Generic - License Renewal of Nuclear Plants  Regarding Hope Creek Generating Station and Salem Nuclear Generating Station  Units 1 and 2  Supplement 45 to NUREG-1437  Lower Alloway Creek  Township  Salem County  NJ,Draft,12/16/2010,10/29/2010,Nuclear Regulatory Commission,,NJ
Apache-Sitgreaves National Forests  Public Motorized Travel Management Plan  Proposes to Provide for a System of Roads  Trails  and Areas   Designated for Motorized Use  Apache  Coconino  Greenlee and Navajo Counties  AZ,Draft,12/13/2010,10/29/2010,Forest Service,,AZ
Wallops Flight Facility  Shoreline Restoration and Infrastructure Protection Program  Implementation  Wallops Island  VA,Final,11/29/2010,10/29/2010,National Aeronautics and Space Administration,,VA
Alaskan Way Viaduct Replacement Project   Between S. Royal Brougham Way and Roy Street  To Protect Public Safety and Provide Essential Vehicle Capacity to and through downtown Seattle  Updated Information to 2004 DEIS  and 2006 DSEIS  Seattle  WA,Second Draft Supplemental,12/13/2010,10/29/2010,Federal Highway Administration,,WA
Rusk Permit Area  Proposes to Construct  Operate  and Reclaim Permit Area  Expansion of Existing South Hallsville No. 1 Mine. Issuance of Section 404 Permit  Rusk  Harrison and Panola Counties  TX,Draft,12/17/2010,10/29/2010,U.S. Army Corps of Engineers,,TX
Yesler Terrace Redevelopment Project  Proposed Redevelopment of Yesler Terrace to Create a Mixed Income  Mixed-Use-Residential Community on a 28 Acre Site  to Better Serve Existing and Future Residents  City of Seattle  WA,Draft,12/15/2010,10/29/2010,Department of Housing and Urban Development,,WA
East Coast Basing of the F-35B Project  Construction  Demolition and/or Modification Airfield Facilities and Infrastructure  SC and NC,Final,11/22/2010,10/22/2010,United States Navy,,
Mill Creek Allotment Management Plans Project  Reauthorization of Grazing Permit on Five Grazing Allotments  Lookout Mountain Ranger District  Ochoco National Forest  Crook County  OR,Final,11/18/2010,10/22/2010,Forest Service,,OR
South Corridor Portland-Milwaukie Light Rail Project  Proposal to Develop Light Rail Transit in Final Segment  Connecting Downtown Portland  OR  the City of Milwaukie and north Clackamas and Mulnomah Counties  OR  and Clark County  WA,Third Final Supplemental,11/22/2010,10/22/2010,Federal Transit Administration,,
Rice Solar Energy Project  Proposed 150 megawatt Solar Energy Generating Facility    a161-kV/230-kV Electrical Transmission Tie-Line ad a 161-kV/230-kV Electrical Interconnection Switchyard  Riverside County   CA,Draft,01/19/2011,10/22/2010,Western Area Power Administration,,CA
American River Watershed Common Features Project/ Natomas Post-Authorization Change Report/Natomas Levee Improvement Program  Phase 4b Landside Improvements Project  Sacramento and Sutter Counties  CA,Final,11/19/2010,10/22/2010,U.S. Army Corps of Engineers,,CA
United States Marine Corps Joint Strike Fighter F-35B West Coast Basing  To Efficiently and Effectively Maintain Combat Capability and Mission Readiness  CA and AZ,Final,11/22/2010,10/22/2010,United States Navy,,
Sunridge Properties Project  Implementing Alternatives for Six Residential Development Project  City of Rancho Cordova  Sacramento Counties  CA,Final,11/15/2010,10/22/2010,U.S. Army Corps of Engineers,,CA
ADOPTION -  Ivanpah Solar Electric Generating System (07-AFC-5) Project  Proposal to Construct a 400-m Megawatt Concentrated Solar Power Tower  Thermal-Electric Power Plant  San Bernardino County  CA,Final,11/29/2010,10/22/2010,Department of Energy,,CA
Nez Perce National Forest (NPNF)  New Information and Proposed Route Designations  Designated Routes and Areas for Motor Vehicle Use (DRAMVU)  Implementation  Idaho County  ID,Draft Supplement,12/06/2010,10/22/2010,Forest Service,,ID
Cayuga Indian Nation of New York Conveyance of Land into Trust Project  Approval of a 125 + Acre Fee-To-Trust Property Transfer of Seven Separate Parcel located in the Village of Union Springs and Town of Springport and Montezuma in Cayuga County and the Town of Seneca Falls in Seneca County  NY,Final,10/26/2010,10/22/2010,Bureau of Indian Affairs,,NY
Mystic Range Project Area  Propose to Reauthorize Grazing of Domestic Livestock on Eight Allotments  Black Hills National Forest  Pennington and Custer Counties  SD,Final,11/16/2010,10/22/2010,Forest Service,,SD
Beaverslide Timber Sale and Fuel Treatment Project  Additional Analysis and New Information  Six Rivers National Forest  Mad River Range District  Trinity County  CA,Final Supplement,11/03/2010,10/22/2010,Forest Service,,CA
Cobbler II Timber Sale and Fuels Reduction Project  Proposing Vegetation and Fuels Management to Improve Health and Vigor Upland Forest Stands and Reduce Hazardous and Ladder Fuels  Walla Walla Ranger District  Umatilla National Forest  Wallowa and Union Counties  OR,Final,10/25/2010,10/22/2010,Forest Service,,OR
GENERIC - License Renewal of Nuclear Plants Regarding Duane Arnold Energy Center  Supplement 42 to NUREG-1437  near the Town of Palo  Linn County  IA,Final,11/15/2010,10/15/2010,Nuclear Regulatory Commission,,IA
Beaver Creek Landscape Management Project  Vegetation Treatment  Implementation  Ashland Ranger District  Custer National Forest  Powder River County  MT,Draft,11/23/2010,10/15/2010,Forest Service,,MT
Chukchi Sea Planning Area  Oil and Gas Lease Sale 193  Analyzing the Environmental Impact of Natural Gas Development and Evaluate Incomplete  Missing  and Unavailable Information  Chukchi Sea  Alaska Outer Continental Shelf  AK,Draft Supplement,11/29/2010,10/15/2010,BOEMRE,,AK
Calcasieu River and Pass  Louisiana Dredged Material Management Plan for 20 Years While Updating and Redefining the Base Plan  Implementation  Calcasieu Ship Channel  Port of Lake Charles  Calcasieu and Cameron Parishes  LA,Final Supplement,11/03/2010,10/15/2010,U.S. Army Corps of Engineers,,LA
Amargosa Farm Road Solar Energy Project  Construction and Operation of Two Concentrated Solar Power Plant Facilties  Right-of-Way Application on Public Lands  Nye County  NV,Final,11/10/2010,10/15/2010,Bureau of Land Management,,NV
Manzanita Casino - Manzanita Band of Kumeyaay Indians Fee-To-Trust and Casino Facility/ Hotel Project  Construction and Operation  City of Calexico  Imperial County  CA,Draft,12/20/2010,10/15/2010,Bureau of Indian Affairs,,CA
Fernow Experimental Forest Project  To Continue Long-Term Research Studies Involving Removal of Trees  Prescribed Burning  Fertilization  and Use of Herbicides and other Management Activities to Control Invasive Plant Species  Tucker County  WV,Final,11/10/2010,10/15/2010,Forest Service,,WV
Hampton National Historic Site  General Management Plan  Implementation  Baltimore County  MD,Draft,12/13/2010,10/15/2010,National Park Service,,MD
Tahoe National Forest Motorized Travel Management Project  Proposed Changes to the National Forest Transportation System  Implementation  Nevada  Placer  Plumas  Sierra  and Yuba Counties  CA,Final,11/12/2010,10/15/2010,Forest Service,,CA
Jackson Hole Airport Use Agreement Extension Project  To Enable Continued Air Transportation Services  Grand Teton National Park  Teton County  WY,Final,11/03/2010,10/15/2010,National Park Service,,WY
Small Diversion at Convent/Blind River  Proposes to construct a Freshwater Diversion Project  Integrated Feasibility Study  Louisiana Coastal Area  St. James Parish  LA,Final,11/08/2010,10/08/2010,U.S. Army Corps of Engineers,,LA
Convey Atchafalaya River Water to Northern Terrebonne Marshes and Multipurpose Operation of Houma Navigation Lock  Integrated Feasibility Study  Louisiana Coastal Area (LCA) Implementation  Lafourche  Terrebonne  St. Mary Parish  LA,Final,11/08/2010,10/08/2010,U.S. Army Corps of Engineers,,LA
ADOPTION - Cushman Hydroelectric Project (FERC No. 0456)   Design and Construction of New 3.6-MW Powerhouse on the North Fork of the Skokomish River  Mason County  WA,Final,11/18/2010,10/08/2010,Department of Energy,,WA
Louisiana Coastal Area (LCA) - Louisiana  Terrebonne Basin Barrier Shoreline Restoration  Feasibility Study  Implementation. Terrebonne Parish  LA,Final,11/08/2010,10/08/2010,U.S. Army Corps of Engineers,,LA
Medium Diversion at White Ditch  Integrated Feasibility Study  Louisiana Coastal Area (LCA) Ecosystem Restoration  Implementation  Plaquemines Parish  LA,Final,11/08/2010,10/08/2010,U.S. Army Corps of Engineers,,LA
Amite River Diversion Canal Modification Element of the Section 7006(E)(3) Ecosystem Restoration Project  Feasibility Study  Louisiana Coastal Area (LCA) Ascension and Livingston Parishes  LA,Final,11/09/2010,10/08/2010,U.S. Army Corps of Engineers,,LA
Nimbus Hatchery Fish Passage Project  To Create and Maintain a Reliable System for Collecting Adult Fish to Allow Reclamation  Rancho Cordova  Gold River  CA,Draft,11/24/2010,10/08/2010,Bureau of Reclamation,,CA
NC-109 Corridor Improvement  Study  From Old Greensboro Road (NC-1798) to I-40/US 311  Davidson and Forsyth Counties  NC,Draft,11/22/2010,10/08/2010,Federal Highway Administration,,NC
Surf City and North Topsail Beach Project  To Evaluate Coastal Storm Damage Reduction   Topsail Island  Pender and Onslow Counties  NC,Final,11/08/2010,10/08/2010,U.S. Army Corps of Engineers,,NC
PROGRAMMATIC - Marine Seismic Research Funded by the National Science Foundation or Conducted by the U.S. Geological Survey   To Fund the Investigation of the Geology and Geophysics of the Seafloor by Collecting  Seismic Reflection and Refraction Data  Across the World's Ocean,Draft,11/22/2010,10/08/2010,National Science Foundation,,
D-Bug Hazard Reduction Timber Sales Project  To Lessen the Fuel and Safety Hazards Associated with the On-going Outbreak of Mountain Pine Beetles  Diamond Lake Ranger District  Umpqua National Forest  Douglas County  OR,Final,11/18/2010,10/08/2010,Forest Service,,OR
West Butte Wind Power Project  Construction and Operation of Access Roads and a Transmission Line  Application for Right-of-Way (ROW) Grant  Deschutes and Crook Counties  OR,Final,11/01/2010,10/01/2010,Bureau of Land Management,,OR
Three Trails Off-Highway Vehicle Project  Designated Off-Highway Vehicle (OHV) Trail System  Crescent Ranger District  Deschutes National Forest  Klamath County  OR,Draft,11/15/2010,10/01/2010,Forest Service,,OR
Uinta Basin Natural Gas Development Project  To Develop Oil and Natural Gas Resources within the Monument Butte-Red Wash and West Tavaputs Exploration and Developments Area  Applications for Permit of Drill and Right-of-Way  Grants  Uintah and Duchesne Counties  UT,Draft,01/07/2011,10/01/2010,Bureau of Land Management,,UT
Programmatic EIS- Exxon Valdez Oil Spill Restoration Plan DOI/DOC  New Circumstances Bearing on the Council 's Restoration Effort   Implementation  Prince William Sound  Gulf of Alaska  AK,Final Supplement,10/06/2010,09/24/2010,Forest Service,,AK
Eglin Base Realignment and Closure  Proposed Beddown of the Joint Strike Fighter (JSF ) and Establishment of an Initial Joint Training Site (IJTS)  Implementation  Okaloosa  Walton  and Santa Rosa Counties   FL,Draft Supplement,11/08/2010,09/24/2010,United States Air Force,,FL
Warner Valley Comprehensive Site Plan  Addressing Natural and Cultural Resource Conflicts  Parking and Circulation Improvements in Warner Valley  Implementation  Lassen Volcanic National Park  Plumas County  CA,Final,10/25/2010,09/24/2010,National Park Service,,CA
Fort George G. Meade  Maryland to Address Campus Development  Site M as an Operational Complex and to Construct and Operate Consolidated Facilities for Intelligence Community Use   Fort George G. Meade  MD,Final,10/25/2010,09/24/2010,National Security Agency,,MD
Santa Fe National Forest  Oil & Gas Leasing  Updated and New Information    Implementation  San Juan Basin  Cuba Ranger District  NM,Draft Supplement,11/04/2010,09/24/2010,Forest Service,,NM
Tennessee Valley Authority (TVA) Integrated Resource Plan (IRP)  To Address the Demand for Power in the TVA  Service Area  KY,Draft,11/08/2010,09/24/2010,Tennessee Valley Authority,,KY
~VOIDED~ -Sabine-Neches Waterway Channel Improvement Project  Proposed Ocean Dredged Material Disposal Site Designation  Southeast Texas and Southwest Louisiana,Final,10/01/2010,09/24/2010,U.S. Army Corps of Engineers,,
North Fork Burnt River Mining Project  To Provide Additional Information and to Address the Deficiencies Identified by the District Court of Oregon on August 4  2006    Proposal for Mineral Plans of Operation  Implementation  Wallowa-Whitman National Forest  Unity Ranger District of the Whitman Unit  Blue Mountains  Town of Unity  Baker County  OR,Draft Supplement,11/08/2010,09/24/2010,Forest Service,,OR
Concow Hazardous Fuels Reduction Project  Propose to Reduce Hazardous Forest Fuels  Plus Establish and Maintain Spaces - Defensible Fuel Profile Zones (DFPZs)   Feather River Ranger District  Plumas National Forest   Towns of Paradise  Magalia  Concow  Butte County  CA,Draft,11/08/2010,09/24/2010,Forest Service,,CA
Charles M. Russell National Wildlife Refuge and UL Bend National Wildlife Refuge Comprehensive Conservation Plan  To Provide Alternatives and Identify Consequences  Fergus  Petroleum  Garfield  McCore  Valley  and Phillips Counties  MT,Draft,11/16/2010,09/24/2010,Fish and Wildlife Service,,MT
Western Snowy Plover Habitat Conservation Plan  Proposed Issuance of an Incidental Take Permit  Oregon Parks and Recreation Department  Oregon Coast                                                             OR  CA  WA,Final,10/25/2010,09/24/2010,Fish and Wildlife Service,,
Tehachapi Renewable Transmission Project  New Information on Changed Conditions Caused by the Station Fire   Construct  Operate and Maintain New and Upgraded 500 kV and 220kV Transmission Lines and Substations  Special Use Authorization  Angeles National Forest   Los Angeles County  CA,Final,10/25/2010,09/24/2010,Forest Service,,CA
Bemidji - Grand Rapid 230 kV Transmission Line Project  Propose to Construct and Operate  Beltrami  Hubbard  Cass  Itasca Counties  MN,Final,10/15/2010,09/17/2010,Department of Agriculture,,MN
Energia Sierra Juarez U.S. Transmission Line Project  Construction  Operation  Maintenance  and Connection of either 230-kilovolt or a 500-kilovolt Electric Transmission Line Crossing U.S.- Mexico Border  Presidential Permit  Approval  San Diego County  CA,Draft,11/01/2010,09/17/2010,Department of Energy,,CA
Hercules Intermodal Transit Center  Construction To Improve Access to Public Transit  Funding  Contra Costa County  CA,Draft,11/15/2010,09/17/2010,Federal Transit Administration,,CA
Northwest Corridor Improvements  I-75/I-575 Construction  New Alternative  USACE Section 404 Permit  NPDES Permit  Cobb and Cherokee Counties  CA,Draft Supplement,11/03/2010,09/17/2010,Federal Highway Administration,,GA
Jackson South Project  US/26/89/189/91 Improvements  Funding and Right-of-Way Approval  Teton County  WY,Final,09/17/2010,09/17/2010,Federal Highway Administration,,WY
Pack and Saddle Stock Outfitter-Guide Special Use Permit Issuance  Okanogan  Chelah  and Skagit Counties  WA,Draft,11/16/2010,09/17/2010,Forest Service,,WA
Big Moose Vegetation Management Project  Implementation  Divide Ranger District  Rio National Forest  Hinsdale and Mineral Counties  CO,Draft,10/27/2010,09/17/2010,Forest Service,,CO
Silver State Solar Energy Project  Construction and Operation of a 400-megawatt Photovoltaic Solar Plant and Associated Facilities on Public Lands  Application  Right-of-Way Grant  Primm and Clark Counties  NV,Final,10/08/2010,09/10/2010,Bureau of Land Management,,NV
Northwest Training Range Complex (NWTRC)  Support and Conduct Current  Emerging  and Future Training  and Research Development  Test and Evaluation (RDT&E) Activities  WA  OR  and CA,Final,10/12/2010,09/10/2010,United States Navy,,WA - OR
Montana Department of Natural Resources and Conservation Forested Trust Lands Habitat Conservation Plan  Issuance of Incidental Take Permit  Implementation  MT,Final,10/05/2010,09/10/2010,Fish and Wildlife Service,,MT
Gray's Reef National Marine Sanctuary (GRNMS) Research Areas Designation  Establish a Research Area  Implementation  NC,Draft,10/05/2010,09/10/2010,National Oceanic and Atmospheric Administration,,NC
Big Pony Project  Proposes to Reduce Fire Hazard to Permanent Research Plots and to Areas within and Adjacent to Wildland Urban Interface near Tennant  Goosenest Ranger District  Klamath National Forest  Siskiyou County  CA,Draft,10/25/2010,09/10/2010,Forest Service,,CA
Gemmill Thin Project  Updated Information on Four Alternatives   Chanchellula Late-Successional Reserve  Shasta-Trinity National Forest  Trinity County  CA,Draft Supplement,10/25/2010,09/10/2010,Forest Service,,CA
PROGRAMMATIC -  I-70 Mountain Corridor Tier 1 Project  from Glenwood Springs and C-470 Proposes to Increase Capacity  Improve Accessibility and Mobility  and Decrease Congestion  Colorado  Garfield  Eagle  Summit  Clear Creek and Jefferson Counties  CO,Revised Draft,11/08/2010,09/10/2010,Federal Highway Administration,,CO
DesertXpress High-Speed Passenger Train Project  Updated Information on Project Modification and Additions  Proposes to Construct and Operate High-Speed Passenger Train between Victorville  California  and Las Vegas  Nevada,Draft Supplement,10/18/2010,09/03/2010,Federal Railroad Administration,,NV
Livestock Grazing and Vegetation Management on Five Project Area  Proposes to Continue to Authorize Livestock Grazing   Tongue  Medicine Wheel/Paintrock  and Power River  Districts of the Bighorn National Forest  Johnson  Sheridan  Big Horn and Washakie Counties  WY,Draft,10/18/2010,09/03/2010,Forest Service,,WY
Nautilus Project Area  Multiple Resource Management Actions  Implementation  Black Hills National Forest  Northern Hills Ranger District  Lawrence  Meade and Pennington  SD,Final,09/19/2010,09/03/2010,Forest Service,,SD
