Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Eagle Mountain Pumped Storage Hydroelectric Project  Licensing Application for Eagle Mountain Mine  near the town of Desert Center  Riverside County  CA,Draft,02/25/2011,12/30/2010,Federal Energy Regulatory Commission,,CA
Kings River Experimental Watershed Forest Health and Research Project  Implementation  Sierra National Forest  High Sierra Ranger District  Fresno County  CA,Draft,02/07/2011,12/23/2010,Forest Service,,CA
Sunrise Project  Proposes to Build a New East-West Oriented  Limited-Access Highway between I-205 to Rock Creek Junction  Funding and US Army COE Section 404 Permit  Clackamas County  Oregon,Final,01/24/2011,12/23/2010,Federal Highway Administration,,OR
Deerfield Wind Project  Updated Information   Application for a Land Use Authorization to Construct and Operate a Wind Energy Facility  Special Use Authorization Permit  Towns of Searsburg and Readsboro  Manchester Ranger District  Green Mountain National Forest  Bennington County  VT,Draft Supplement,03/11/2011,12/23/2010,Forest Service,,VT
Fort McPherson Project  Disposal and Reuse  Implementation  in City Limits of Atlanta  Fulton County  GA,Final,01/24/2011,12/23/2010,U.S. Army Corps of Engineers,,GA
Gulf of Mexico Range Complex (GOMEX)  Proposed Action is to Support and Conduct Current and Emerging Training and RDT&E Operations  TX  MS  AL and FL,Final,,12/23/2010,United States Army,,AL - FL - MS
East County Substation/Tule Wind/Energia Sierra Juarez Gen-Tie Projects  Construction and Operation  Right-of-Way Grants  San Diego County  CA,Draft,03/04/2011,12/23/2010,Bureau of Land Management,,CA
Glyphosate -Tolerant Alfalfa Events J101 and J163: Request for Nonregulated Status  Implementation  United States,Final,01/25/2011,12/23/2010,Animal and Plant Health Inspection Service,,
Eglin Air Force Base (AFB) and Hurlburt Field  Proposes to Implement the Military Housing Privatization Initiative (MHPI)  FL,Third Draft Supplemental,03/02/2011,12/23/2010,United States Air Force,,FL
Freeport Harbor Channel Improvement Project  Proposes to Deepen and Widen the Freeport Harbor Channel and Associated Turning Basins  Brazoria County  TX,Draft,02/11/2011,12/23/2010,U.S. Army Corps of Engineers,,TX
Santa Clara Valley Habitat Plan  To Protect and Enhance Ecological Diversity and Function in the Greater Portion of Santa Clara County  Implementation  Santa Clara County  CA,Draft,03/15/2011,12/17/2010,Fish and Wildlife Service,,CA
Department of Homeland Security Headquarters Consolidation at St. Elizabeths Master Plan Amendment - East Campus North Parcel  St. Elizabeths Campus in Southeast Washington  DC,Draft,03/02/2011,12/17/2010,General Services Administration,,DC
Southern California Edison's Eldorado-Ivanpah Transmission Line Project  Construction and Operation  Right-of-Way Application  Clark County  NV and San Bernardino County  CA,Final,01/19/2011,12/17/2010,Bureau of Land Management,,NV
South Coast Conduit/Upper Reach Reliability Project  Construction of a Second Water Pipeline for Improving Water Supply  US Army COE Section 10 and 404 Permits  Santa Barbara County  CA,Final,01/12/2011,12/17/2010,Bureau of Reclamation,,CA
Mississippi River Gulf Outlet (MRGO) Ecosystem Restoration Study  To Develop a Comprehensive Ecosystem Restoration Plan to Restore the Lake Borgne  Implementation  LA,Draft,02/14/2011,12/17/2010,U.S. Army Corps of Engineers,,MS
Emigrant Mine Project  Proposed Open Pit  Gold Mine  Plan-of-Operation  South of Carlin in Elko County  NV,Final,01/21/2011,12/17/2010,Bureau of Land Management,,NV
Generic - License Renewal of Nuclear Plants  Supplement 38 to NUREG -1437  Regarding Indian Point Nuclear Generating Unit Nos. 2 and 3  Westchester County  NY,Final,01/18/2011,12/17/2010,Nuclear Regulatory Commission,,NY
PROGRAMMATIC  - Solar Energy Development in Six Southwestern States  To Establish a New BLM Solar Energy Program applicable to Utility-Scale Solar Energy Development and DOE's Proposed Action to Develop new Program Guidance Relevant to DOE Supported Solar Project  AZ  CA  CO  NV  NM and UT,Draft,05/02/2011,12/17/2010,Bureau of Land Management,,AZ - CA - CO - NV - NM
Everglades National Park Tamiami Trail Modifications: Next Steps Project  To Restore More Natural Water Flow to Everglades National Parks and Florida Bay  FL,Final,01/18/2011,12/17/2010,National Park Service,,FL
Sunset Area Community Planned Action  Proposal to Redevelopment of the Sunset Terrace Public Housing Community and Associated Neighborhood Growth and Revitalization  City of Renton  WA,Draft,01/31/2011,12/17/2010,Department of Housing and Urban Development,,WA
Eagle Prospect and Noble Basin Master Development Plan (MDP) Project  Proposes to Drill up to 136 Oil and Gas Wells on Existing Oil and Gas Leases on National Forest System (NFS) Lands  Approval of a Surface Use Plan of Operations (SUPO) for a Master Development Plan (MDP)  Sublette County  WY,Draft,03/11/2011,12/10/2010,Forest Service,,WY
WA-520 Bridge Replacement and HOV Program  To Build the New Pontoon Construction Facility  Gray Harbor and Pierce Counties  WA,Final,01/07/2011,12/10/2010,Federal Highway Administration,,WA
Big Eddy-Knight Transmission Project  Proposal to Construct  Operate  and Maintain a 27-28 mile long 500-Kilovolt Transmission Line using a Combination  of Existing BPA and New 150-Foot wide Right -of-Way  Wasco County  OR and Klickitat County  WA,Draft,01/21/2011,12/10/2010,Bonneville Power Administration,,OR
Phase II - CA-11 and Otay Mesa East Port of Entry Project  Construction of a new State Route and Port of Entry in the East Otay Mesa Are of the City and County of San Diego  CA from the State Route 905/State Route 125 Interchange to the US-Mexico Border,Draft,02/08/2011,12/10/2010,Federal Highway Administration,,CA
Big Cyress National Preserve Addition  General Management Plan/Wilderness Study/Off-Road Vehicle Management Plan  Implementation  Collier County  FL,Final,01/04/2011,12/06/2010,National Park Service,,FL
ON Line Project  (Previously Known as Ely Energy Center) Proposed 236-mile long 500 kV Electric Transmission Line from a new substation near Ely  Nevada approximately 236 mile south to the existing Harry Allen substation near Las Vegas  Clark  Lincoln  Nye and White Pine Counties  NV,Final,01/03/2011,12/06/2010,Bureau of Land Management,,NV
Lake Oswego to Portland Transit Project  To Improve Transit Service with the Lake Oswego to Portland Transit Corridor   Clackamas and Multnomah Counties  OR,Draft,01/31/2011,12/03/2010,Federal Transit Administration,,OR
Barry M. Goldwater Ranger East Range Enhancements  Proposes to Take Ten Different Actions would Enhance Range Operations and Training  Yuma  Pima and Maricopa Counties  AZ,Final,12/14/2010,11/26/2010,United States Air Force,,AZ
Presidio Trust Management Plan (PTMP)  Updated Information on the Preferred Alternative for the Main Post District of the Presidio of San Francisco  Implementation  City and County of San Francisco  CA,Final Supplement,12/17/2010,11/26/2010,The Presidio Trust,,CA
