Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
Proposed Corpus Christi Ship Channel Deepening Project,Final,04/22/2024,03/22/2024,U.S. Army Corps of Engineers,"EPA, USFWS, NMFS",TX
ADOPTION - Moody Air Force Base Comprehensive Airspace Initiative,Final,,03/22/2024,Federal Aviation Administration,,FL - GA
"I-94 East - West (16th Street - 70th Street) Milwaukee County, WI",Final Supplement,,03/22/2024,Federal Highway Administration,"NPS, USACE",WI
Draft Resource Management Plan Amendment and Environmental Impact Statement for Greater Sage-Grouse Rangewide Planning,Draft,,03/15/2024,Bureau of Land Management,"DOD, EPA, USFWS, USFS",UT - WY - CA - CO - ID - MT - ND - NV - OR - SD
Robertson Mine Project,Draft,04/29/2024,03/15/2024,Bureau of Land Management,"EPA, USFWS",NV
ADOPTION - Revolution Wind Farm and Revolution Wind Export Cable Final Environmental Impact Statement,Final,,03/15/2024,National Marine Fisheries Service,,MA - CT - RI
ADOPTION - Empire Offshore Wind,Final,,03/15/2024,National Marine Fisheries Service,,NY
ADOPTION - Coastal Virginia Offshore Wind Commercial,Final,,03/15/2024,National Marine Fisheries Service,,VA
Near-term Colorado River Operations Final Supplemental EIS,Final Supplement,04/08/2024,03/08/2024,Bureau of Reclamation,"BIA, USFWS, IBWC, NPS, WAPA",CO - AZ - CA - NM - NV - UT - WY
Bears Ears National Monument Draft Resource Management Plan,Draft,,03/08/2024,Bureau of Land Management,"NPS, USFS",UT
Department of Energy Activities in Support of Commercial Production of High-Assay Low-Enriched Uranium (HALEU),Draft,04/22/2024,03/08/2024,Department of Energy,,NAT
ADOPTION - GENERIC - License Renewal of Nuclear Plants  Supplement 27 to NUREG-1437  Regarding Palisade Nuclear Plant  (TAC NO. MC6434)  Located in Covert Township  Van Buren County  MI,Final,,03/01/2024,Department of Energy,,MI
"Proposed Development of a New Federal Correctional Institution and Federal Prison Camp - Letcher County, Kentucky",Draft,,03/01/2024,Bureau of Prisons,,KY
"Legislative Environmental Impact Statement Regarding Proposed Public Land Withdrawal in Vicinity of Arizona State Route 95, Yuma Proving Ground, Arizona",Draft,04/11/2024,03/01/2024,United States Army,BLM,AZ
New England Wind Project,Final,,03/01/2024,Bureau of Ocean Energy Management,"EPA, USFWS, NMFS, USACE, USCG",MA - NY - RI
Proposed Papah&#257;naumoku&#257;kea National Marine Sanctuary Draft Environmental Impact Statement,Draft,05/06/2024,03/01/2024,National Oceanic and Atmospheric Administration,,HI
Kingston Fossil Plant Retirement,Final,,02/23/2024,Tennessee Valley Authority,"EPA, NPS",TN
ADOPTION - PROGRAMMATIC - Habitat Restoration Activities Implemented throughout the Coastal United States,Final,,02/23/2024,Natural Resource Conservation Service,,PRO
"Alcan Land Port of Entry Expansion and Modernization Draft Environmental Impact Statement Alcan, Alaska",Draft,04/11/2024,02/23/2024,General Services Administration,,AK
Social and Ecological Resilience Across the Landscape 2.0 (SERAL 2.0),Draft,04/01/2024,02/16/2024,Forest Service,,CA
"Site-Specific Environmental Impact Statement for Subsequent License Renewal of Oconee Nuclear Station, Units 1, 2, and 3 Second Renewal, Draft Report for Comment",Draft,04/01/2024,02/16/2024,Nuclear Regulatory Commission,,SC
Goldendale Energy Storage Project,Final,03/15/2024,02/16/2024,Federal Energy Regulatory Commission,USACE,WA - OR
Air National Guard F-15EX Eagle II and F-35A Lightning II Operational Beddowns,Draft,,02/16/2024,United States Air Force,FAA,LA - MA - CA
Glen Canyon Dam Long-Term Experimental and Management Plan,Draft Supplement,03/21/2024,02/09/2024,Bureau of Reclamation,"BIA, USFWS, NPS, WAPA",UT - AZ
Consideration of Exempted Fishing Permits for Testing Fishing Practices to Target Swordfish and Other Marketable Highly Migratory Species in the United States West Coast Exclusive Economic Zone,Draft,04/04/2024,02/09/2024,National Marine Fisheries Service,,CA - OR
ADOPTION - Sentinel (GSBD) Deployment and Minuteman III Decommissioning and Disposal,Final,,02/09/2024,Forest Service,,WY
OBrien Road Access Modernization,Final,,02/09/2024,National Security Agency,,MD
Draft Supplemental Environmental Impact Statement for the Nebraska Public Power District Revised R-Project Habitat Conservation Plan,Draft Supplement,04/04/2024,02/09/2024,Fish and Wildlife Service,"EPA, NPS, USACE",NE
Long-Term Management and Storage of Elemental Mercury,Second Final Supplemental,03/04/2024,02/09/2024,Department of Energy,,AR - IL - NV - PA - TN - TX - UT
Nez Perce-Clearwater NF Travel Plan and OHV Rule Implementation,Final Supplement,,02/09/2024,Forest Service,,ID
ADOPTION - Sentinel (GSBD) Deployment and Minuteman III Decommissioning and Disposal,Final,,02/09/2024,Bureau of Land Management,,WY - AZ - MT - ND - UT
Earthquake Ready Burnside Bridge,Final Supplement,,02/09/2024,Federal Highway Administration,"NOAA, NPS, USACE, USCG",OR
Greens Creek North Extension Project,Final Supplement,03/18/2024,02/02/2024,Forest Service,"EPA, USACE",AK - AK
Port Authority Bus Terminal Replacement Project,Draft,03/18/2024,02/02/2024,Federal Transit Administration,"DOI, EPA, USFWS",NY - NJ
Expenditure of Funds to Increase Prey Availability for Southern Resident Killer Whales,Draft,,01/26/2024,National Oceanic and Atmospheric Administration,,ID - OR - WA - AK
"San Francisco Waterfront Coastal Flood Study, CA",Draft,03/29/2024,01/26/2024,U.S. Army Corps of Engineers,"EPA, FEMA, USFWS, NMFS, NPS",CA
Ashley National Forest Land Management Plan Revision,Final,,01/26/2024,Forest Service,,UT - WY
Issuance of an Incidental Take Statement under the Endangered Species Act for Salmon Fisheries in Southeast Alaska Subject to the 2019 Pacific Salmon Treaty Agreement and Funding to the State of Alaska to Implement the 2019 Pacific Salmon Treaty Agreement,Draft,03/06/2024,01/26/2024,National Marine Fisheries Service,,AK
North of Lake Okeechobee Storage Reservoir Section 203 Study,Final,02/26/2024,01/26/2024,U.S. Army Corps of Engineers,,FL
KC-46A Main Operating Base 5 Beddown,Revised Draft,,01/26/2024,United States Air Force,,CA - IN - OK
Libra Solar,Draft,,01/19/2024,Bureau of Land Management,"DOD, EPA, USFWS",NV
