Title,Document,EPA Comment Letter Date,Federal Register Date,Lead Agency,Federal Cooperating Agency(ies),State
San Juan Islands National Monument Proposed Resource Management Plan and Final Environmental Impact Statement,Final,,11/22/2019,Bureau of Land Management,"USFWS, NPS, USCG, USN",WA
Jordan Cove Energy Project,Final,,11/22/2019,Federal Energy Regulatory Commission,"BLM, BR, DOE, DOT, EPA, USFWS, USFS, NOAA, USACE",OR
Squaw Valley-Alpine Meadows Base-to-Base Gondola Project,Final,12/05/2019,11/22/2019,Forest Service,,CA
Osage County Oil and Gas Draft Environmental Impact Statement,Revised Draft,,11/22/2019,Bureau of Indian Affairs,"EPA, USGS",OK
Allatoona Lake Water Supply Storage Reallocation Study and Updates to Weiss and Logan Martin Reservoirs Project Water Control Manuals,Draft Supplement,01/29/2020,11/15/2019,U.S. Army Corps of Engineers,,AL - GA
Lower Elkhorn Basin Levee Setback Project,Final,12/12/2019,11/15/2019,U.S. Army Corps of Engineers,"USFWS, NMFS",CA
Reduce the Incidental Bycatch and Mortality of Sea Turtles in the Southeastern U.S. Shrimp Fisheries,Final,12/06/2019,11/15/2019,National Marine Fisheries Service,,LA - AL - FL - GA - MS - NC - SC - TX
Fresno to Bakersfield Section: Locally Generated Alternative Combined Supplemental Record of Decision and Final Supplemental Environmental Impact Statement,Final Supplement,,11/08/2019,California High-Speed Rail Authority,"BR, STB, USACE",CA
Proposed Dairy Syncline Mine and Reclamation Plan,Final,12/05/2019,11/08/2019,Bureau of Land Management,"USACE, USFS",ID
Bakersfield Field Office Hydraulic Fracturing Final Supplemental EIS,Final Supplement,12/02/2019,11/01/2019,Bureau of Land Management,,CA
Crimson Solar Project Draft Environmental Impact Statement and Environmental Impact Report and Draft Land Use Plan Amendment to the California Desert Conservation Area Plan,Draft,01/30/2020,11/01/2019,Bureau of Land Management,"EPA, USFWS",CA
"Oklahoma, Kansas and Texas Final Joint EIS, BLM RMP, and BIA Integrated RMP",Final,,11/01/2019,Bureau of Land Management,"BIA, BIA",OK - KS - TX
Rangeland Grasshopper and Mormon Cricket Suppression Program,Final,,11/01/2019,Animal and Plant Health Inspection Service,,PRO
"Generic Environmental Impact Statement for License Renewal of Nuclear Plants, Supplement 5, Second Renewal, Regarding Subsequent License Renewal for Turkey Point Nuclear Generating Unit Nos. 3 and 4",Final Supplement,12/02/2019,11/01/2019,Nuclear Regulatory Commission,NPS,FL
Fort Ord Multi-Species Habitat Conservation Plan Public Draft EIS/EIR,Draft,12/11/2019,11/01/2019,Fish and Wildlife Service,,CA
"Special Use Airspace Optimization Holloman Air Force Base, New Mexico",Draft,12/11/2019,11/01/2019,United States Air Force,"BLM, FAA, NPS",NM
Port of Long Beach Deep Draft Navigation Feasibility Study,Draft,12/09/2019,10/25/2019,U.S. Army Corps of Engineers,,CA
Mendota Pool Group 20-Year Exchange Program,Final,11/25/2019,10/25/2019,Bureau of Reclamation,,CA
Supplemental Environmental Impact Statement for the Mars 2020 Mission,Draft Supplement,12/09/2019,10/25/2019,National Aeronautics and Space Administration,DOE,FL
Cardinal-Hickory Creek 345-kV Transmission Line Project,Final,11/22/2019,10/25/2019,Rural Utilities Service,"EPA, USFWS, USACE",WI - IA
Draft Supplemental Environmental Impact Statement for Soil Cleanup Activities at Santa Susana Field Laboratory,Draft Supplement,,10/25/2019,National Aeronautics and Space Administration,,CA
"Generic Environmental Impact Statement for License Renewal of Nuclear Plants - Supplement 6, Second Renewal Regarding Subsequent License Renewal for Surry Power Station Units 1 and 2",Draft Supplement,,10/25/2019,Nuclear Regulatory Commission,,VA
Rulemaking for Alaska Roadless Areas,Draft,,10/18/2019,Forest Service,,AK
"Coeur Rochester and Packard Mines Plan of Operations, Amendment 11",Draft,11/26/2019,10/18/2019,Bureau of Land Management,EPA,NV
4FRI Rim Country Project,Draft,01/14/2020,10/18/2019,Forest Service,,AZ
Final Environmental Impact Statement for the Proposed Haines Amendment to the Ring of Fire Resource Management Plan,Final,11/06/2019,10/11/2019,Bureau of Land Management,,AK
2020 Thunder Basin National Grassland Plan Amendment,Draft,01/09/2020,10/11/2019,Forest Service,,WY
"Salem River Crossing Project (OR99E-Business, OR22, OR221)",Final,,10/11/2019,Federal Highway Administration,"NPS, USACE, USCG",OR
Allen Fossil Plant Ash Impoundment Closure Draft Environmental Impact Statement,Draft,11/20/2019,10/11/2019,Tennessee Valley Authority,,TN
Long-Term Water Transfers,Final,10/30/2019,10/11/2019,Bureau of Reclamation,,CA
Gold Butterfly,Final,11/06/2019,10/11/2019,Forest Service,,MT
Tri-State Fuel Breaks Project,Draft,11/14/2019,10/11/2019,Bureau of Land Management,,ID - OR
Keystone XL Project,Second Draft Supplemental,11/18/2019,10/04/2019,Department of State,"BLM, USFWS, NPS, RUS, USACE, WAPA",MT - NE - SD
New Madawaska U.S. Land Port of Entry and International Bridge Project,Final Supplement,11/04/2019,10/04/2019,General Services Administration,"USCG, CBP, FHWA",ME
"Draft Resource Management Plan and Associated Environmental Impact Statement for the Browns Canyon National Monument, Colorado",Draft,,10/04/2019,Bureau of Land Management,USFS,CO
Proposed Habitat Conservation Plan and Incidental Take Permit,Final,,10/04/2019,Fish and Wildlife Service,,IA
Magnolia Liquefied Natural Gas Production Capacity Amendment,Draft Supplement,,10/04/2019,Federal Energy Regulatory Commission,"DOT, USCG, DOE",LA
Deschutes Basin Habitat Conservation Plan,Draft,,10/04/2019,Fish and Wildlife Service,"BLM, BR, USFS, NMFS",OR
Buffalo Field Office Final Supplemental EIS and Proposed RMP Amendment,Final Supplement,,10/04/2019,Bureau of Land Management,"EPA, USFWS, OSM",WY
Miles City Field Office Final Supplemental EIS and Proposed RMP Amendment,Final Supplement,,10/04/2019,Bureau of Land Management,"EPA, USFWS, OSM",MT
Lake Ralph Hall Regional Water Supply Reservoir Project,Final,,09/27/2019,U.S. Army Corps of Engineers,"EPA, USFWS, USFS",TX
Long-Term Conservation Strategy for the Marbled Murrelet,Final,10/28/2019,09/27/2019,Fish and Wildlife Service,,WA
Invasive Plant Management Final Environmental Impact Statement for the Bridger-Teton National Forest,Final,11/07/2019,09/27/2019,Forest Service,,WY
Desert Quartzite Solar Project Final Plan Amendment/Environmental Impact Statement/Environmental Impact Report,Final,10/24/2019,09/27/2019,Bureau of Land Management,"EPA, USFWS",CA
Coral Habitat Areas Considered for Habitat Areas of Particular Concern Designation in the Gulf of Mexico,Final,10/25/2019,09/27/2019,National Marine Fisheries Service,,FL - AL - LA - MS - TX
Rose Hill Courts Redevelopment Project,Draft,11/08/2019,09/27/2019,Los Angeles Housing Community Investment Department,HCIDLA,CA
Revision of the Inyo National Forest Land and Resource Management Plan,Final,10/21/2019,09/20/2019,Forest Service,,CA - NV
Ragged Ruby Project,Final,,09/20/2019,Forest Service,,OR
Pike and San Isabel National Forests Public Motor Vehicle Use,Draft,,09/20/2019,Forest Service,,CO
Coastal Plain Oil and Gas Leasing Program,Final,10/21/2019,09/20/2019,Bureau of Land Management,"EPA, USFWS",AK
Colville National Forest Plan Revision,Final,,09/20/2019,Forest Service,,WA
Atlanta to Charlotte Passenger Rail Corridor Investment Plan,Draft,11/01/2019,09/20/2019,Federal Railroad Administration,FTA,GA - NC - SC
East Side Coastal Resiliency (ESCR),Final,,09/13/2019,"City of New York, Office of Management and Budget","HUD, NMFS, USACE",NY
Final Environmental Impact Statement and Proposed Resource Management Plan Amendments for the Ten West Link Transmission Line Project,Final,10/15/2019,09/13/2019,Bureau of Land Management,"BR, DOD, EPA, USFWS, USACE, WAPA",AZ - CA
Mackay Optimization Project,Final,10/15/2019,09/13/2019,Bureau of Land Management,"EPA, USFWS",NV
Long Bridge Project,Draft,10/25/2019,09/13/2019,Federal Railroad Administration,"FTA, NCPC, NPS, USACE, USCG",DC - VA
Merced to Fresno Section: Central Valley Wye Draft Supplemental Environmental Impact Report/Environmental Impact Statement,Draft Supplement,10/24/2019,09/13/2019,California High-Speed Rail Authority,"BR, STB, USACE",CA
I-94 Modernization Project in Detroit from I-96 to Conner Avenue DSEIS and Section 4(f) Evaluation,Draft Supplement,09/25/2019,09/13/2019,Federal Highway Administration,EPA,MI
"Management of the Subsistence Harvest of Northern Fur Seals on  St. Paul Island, Alaska",Final Supplement,,09/06/2019,National Marine Fisheries Service,,AK
Authorization of Incidental Take and Implementation of the LCRA Transmission Services Corporation Habitat Conservation Plan,Final,,09/06/2019,Fish and Wildlife Service,,TX
Hycroft Mine Phase II Expansion Project,Final,10/07/2019,09/06/2019,Bureau of Land Management,USFWS,NV
Resilient Bridgeport,Final,10/07/2019,09/06/2019,Connecticut Department of Housing,"HUD, EPA",CT
North-South Corridor Study Tier 1 Draft Environmental Impact Statement,Draft,10/28/2019,09/06/2019,Arizona Department of Transportation,"BLM, EPA, FRA, USFWS, USACE, WAPA",AZ
National Bison Range Final Comprehensive Conservation Plan and Environmental Impact Statement,Final,10/01/2019,09/06/2019,Fish and Wildlife Service,BIA,MT
Stonewall Vegetation,Final Supplement,10/03/2019,09/06/2019,Forest Service,,MT
State Management Program For Recreational Red Snapper Amendment 50A to the Fishery Management Plan for the Reef Fish Resources of the Gulf of Mexico,Final,,08/30/2019,National Marine Fisheries Service,,Other - AL - FL - LA - MS - TX
Chugach National Forest Land Management Plan,Final,,08/30/2019,Forest Service,,AK
Ambler Road Draft Environmental Impact Statement,Draft,10/29/2019,08/30/2019,Bureau of Land Management,"EPA, USACE, USCG",AK
Willow Master Development Plan Draft Environmental Impact Statement,Draft,10/29/2019,08/30/2019,Bureau of Land Management,"DOT, EPA, USFWS, USACE, USCG",AK
"Matagorda Ship Channel, Port Lavaca, Texas",Final,,08/30/2019,U.S. Army Corps of Engineers,"USFWS, NMFS",TX
Draft Environmental Impact Statement for Florida Keys National Marine Sanctuary: A Restoration Blueprint,Draft,,08/30/2019,National Oceanic and Atmospheric Administration,USFWS,FL
Apache-Sitgreaves National Forests Public Motorized Travel Management Plan,Revised Draft,10/29/2019,08/30/2019,Forest Service,,AZ
Transmission System Vegetation Management Final Programmatic EIS,Final,09/25/2019,08/30/2019,Tennessee Valley Authority,"USFS, NPS",TN - AL - GA - KY - MS - NC - VA
"ADOPTION - Modernization and Enhancement of Ranges, Airspace, and Training Areas in the Joint Pacific Alaska Range Complex in Alaska",Final,,08/30/2019,Federal Aviation Administration,,AK
Van Wyck Expressway Capacity and Access Improvements to JFK Airport Project,Final,,08/30/2019,Federal Highway Administration,"EPA, FAA",NY
Continental United States (CONUS) Interceptor Site,Final,,08/30/2019,Department of Defense,,Other - MI - NY - OH
"Grand Staircase-Escalante National Monument-Grand Staircase, Kaiparowits, and Escalante Canyon Units and Federal Lands previously included in the Monument that are excluded from the Boundaries Draft Resource Management Plans and Final Environmental Impact Statement",Final,09/18/2019,08/23/2019,Bureau of Land Management,NPS,UT
B.F. Sisk Dam Safety of Dams Modification Project,Final,09/20/2019,08/23/2019,Bureau of Reclamation,,CA
"Project No. DPI-0030(005), I-10 Mobile River Bridge and Bayway, Mobile and Baldwin Counties, Alabama",Final,09/10/2019,08/23/2019,Federal Highway Administration,"USACE, USCG",AL
McClellanville 115 kV Transmission Project,Draft Supplement,10/22/2019,08/23/2019,Rural Utilities Service,"USACE, USFS",SC
Interstate 80/Interstate 580/US Highway 395 Freeway-to-Freeway Interchange and Connecting Road Improvements,Final,,08/23/2019,Federal Highway Administration,BIA,NV
AP Loblolly Pine Removal and Restoration Project,Final Supplement,09/12/2019,08/23/2019,Forest Service,,SC
Mount Hope Project Final Supplemental Environmental Impact Statement,Final Supplement,09/23/2019,08/23/2019,Bureau of Land Management,,NV
Continuation and Modernization of McMurdo Station Area Activities,Final,,08/23/2019,National Science Foundation,,AQ
Amendment 8 to the Atlantic Herring Fishery Management Plan,Final,09/16/2019,08/16/2019,National Marine Fisheries Service,,ME - CT - DE - MA - MD - NC - NH - NJ - NY - PA - RI - VA
Calf-Copeland Restoration Project,Draft,09/27/2019,08/16/2019,Forest Service,,OR
"Changes to Pacific Coast Groundfish Essential Fish Habitat Conservation Areas and Boundaries of the Trawl Gear Rockfish Conservation Area Final Environmental Impact Statement, Magnuson-Stevens Act Analysis, Regulatory Impact Review, and Regulatory Flexibility Analysis",Final,,08/16/2019,National Marine Fisheries Service,,CA - OR - WA
Resolution Copper Project and Land Exchange,Draft,11/01/2019,08/09/2019,Forest Service,"BLM, EPA, USACE",AZ
San Gabriel River Confluence With Cattle Canyon Improvements Project,Final,,08/09/2019,Forest Service,,CA
Point Reyes National Seashore General Management Plan Amendment,Draft,09/20/2019,08/09/2019,National Park Service,,CA
Eagle Shadow Mountain Solar Project,Draft,09/09/2019,08/09/2019,Bureau of Indian Affairs,"BLM, DOD, EPA, USFWS",NV
Santa Fe National Forest Land Management Plan Revision,Draft,10/23/2019,08/09/2019,Forest Service,,NM
Cibola National Forest Draft Land Management Plan Draft Environmental Impact Statement,Draft,,08/09/2019,Forest Service,,NM
United States Air Force F-35A Operational Beddown Air National Guard,Draft,09/20/2019,08/09/2019,United States Air Force,FAA,WI - AL - FL - ID - MI
Carson National Forest Revision of Land Management Plan,Draft,11/04/2019,08/09/2019,Forest Service,,NM
"Generic Environmental Impact Statement for License Renewal of Nuclear Plants, Supplement 10, Second Renewal, Regarding Subsequent License Renewal for Peach Bottom Atomic Power Station Units 2 and 3",Draft,,08/09/2019,Nuclear Regulatory Commission,,PA
Borderlands Wind Project Draft Environmental Impact Statement and Resource Management Plan Amendment,Draft,,08/09/2019,Bureau of Land Management,"DOD, USFWS",NM
Delta Research Station Project: Estuarine Research Station and Fish Technology Center,Final,09/12/2019,08/09/2019,Fish and Wildlife Service,,CA
East Lake Tohopekaliga Drawdown and Habitat Enhancement,Final,08/27/2019,08/02/2019,U.S. Army Corps of Engineers,EPA,FL
Final Programmatic Environmental Impact Statement Addressing the Issuance of Incidental Take Permits for Four Wind Energy Projects in Hawai'i,Final,08/28/2019,08/02/2019,Fish and Wildlife Service,,HI
Southgate Project,Draft,09/12/2019,08/02/2019,Federal Energy Regulatory Commission,"USFWS, USACE",NC - VA
"Gulf Intracoastal Waterway, Brazos River Floodgates and Colorado River Locks, Texas",Final,07/09/2019,08/02/2019,U.S. Army Corps of Engineers,,TX
Greater Sage-grouse Proposed Land Management Plan Amendments and Final Environmental Impact Statement for the Intermountain and Rocky Mountain Regions,Final,,08/02/2019,Forest Service,BLM,UT - CO - ID - NV - UT - WY
Central Tongass Project,Draft,09/16/2019,08/02/2019,Forest Service,,AK
STIP_R-2553_US_70 Kinston Bypass,Draft,09/06/2019,08/02/2019,U.S. Army Corps of Engineers,,NC
Castle Mountains Restoration Project,Final,08/08/2019,07/26/2019,Forest Service,,MT
San Luis Low Point Improvement Project Draft Environmental Impact Statement/ Environmental Impact Report,Draft,09/20/2019,07/26/2019,Bureau of Reclamation,"USFWS, USACE",CA
Sevier Playa Potash Project,Final,08/13/2019,07/26/2019,Bureau of Land Management,"DOD, EPA, USFWS",UT
Bears Ears National Monument Indian Creek and Shash Jaa Units Proposed Monument Management Plans and Associated Final Environmental Impact Statement,Final,08/26/2019,07/26/2019,Bureau of Land Management,USFS,UT
Deep South Expansion Project,Final,08/23/2019,07/26/2019,Bureau of Land Management,"EPA, USFWS",NV
"Gulf Intracoastal Waterway, Brazos River Floodgates and Colorado River Locks, Texas",Draft,04/11/2018,07/19/2019,U.S. Army Corps of Engineers,,TX
ADOPTION - Swan Lake North Pumped Storage Project,Final,,07/19/2019,Bureau of Reclamation,,OR
Black Mountain Vegetation Management Project,Final,08/07/2019,07/19/2019,Forest Service,,OR
Gnoss Field Airport Proposed Extension of Runway 13/31,Draft Supplement,09/05/2019,07/19/2019,Federal Aviation Administration,,CA
"United States Gypsum Company Expansion/Modernization Project, Imperial County, California",Draft Supplement,09/03/2019,07/19/2019,Bureau of Land Management,USACE,CA
Auburn State Recreation Area Preliminary General Plan AND Auburn Project Lands Draft Resource Management Plan Draft Environmental Impact Report/ Environmental Impact Statement,Draft,08/30/2019,07/19/2019,Bureau of Reclamation,,CA
Reinitiation of Consultation on the Coordinated Long-term Operations of the Central Valley Project and the State Water Project,Draft,08/22/2019,07/12/2019,Bureau of Reclamation,,CA
Ray Land Exchange Final Supplemental Environmental Impact Statement / Proposed Plan Amendments,Final Supplement,08/20/2019,07/12/2019,Bureau of Land Management,,AZ
10 Salmon and Steelhead Hatchery Programs in the Duwamish-Green River Basin,Final,08/12/2019,07/12/2019,National Marine Fisheries Service,BIA,WA
ADOPTION - Westside Purple Line Extension Section 4(f) Evaluation,Final Supplement,,07/05/2019,Department of Veteran Affairs,,CA
ADOPTION - Westside Subway Extension Transit Corridor Project Extension of the Existing Metro Purple Line and Metro Red Line Heavy Rail Subway Los Angeles County Metropolitan Transportation Authority Los Angeles County CA,Final,07/01/2019,07/05/2019,Department of Veteran Affairs,,CA
ADOPTION - Swan Lake North Pumped Storage Project,Final,,07/05/2019,Bureau of Land Management,,OR
Lake Okeechobee Watershed Restoration Project Revised Draft Integrated Project Implementation Report and Environmental Impact Statement,Revised Draft,08/27/2019,07/05/2019,U.S. Army Corps of Engineers,BIA,FL
Alaska LNG Project-Draft Environmental Impact Statement,Draft,,07/05/2019,Federal Energy Regulatory Commission,"USACE, USCG, USFWS, NMFS, NPS, BLM, DOE, DOT, EPA",AK
Surveillance Towed Array Sensor System Low Frequency Active (SURTASS LFA) Sonar,Final Supplement,,07/05/2019,United States Navy,NMFS,HI - GU - TT
2019 Integrated Resource Plan Final Environmental Impact Statement,Final,07/24/2019,07/05/2019,Tennessee Valley Authority,,AL - TN - GA - KY - MS - NC - VA
ADOPTION - Alton Coal Tract Lease by Application,Final,,07/05/2019,Office of Surface Mining,,UT
Bear Creek Cluster Allotment Management Plans,Draft,08/19/2019,07/05/2019,Forest Service,,OR
ADOPTION - Feral Swine Damage Management: A National Approach,Final,,07/05/2019,Natural Resource Conservation Service,,NAT
Gulf Islands National Seashore Final Personal Watercraft Plan,Final,07/26/2019,07/05/2019,National Park Service,,FL - MS
Final Programmatic Environmental Impact Statement and National Historic Preservation Act Section 106 Consultation: West Los Angeles Medical Center Campus Proposed Master Plan for Improvements and Reconfiguration,Final,07/01/2019,06/28/2019,Department of Veteran Affairs,,CA
Uncompahgre Field Office Proposed Resource Management Plan and Final Environmental Impact Statement,Final,07/25/2019,06/28/2019,Bureau of Land Management,"APHIS, BR, DOE, USFWS, USFS, NPS, NRCS, WAPA",CO
Little Missouri River Crossing,Final,07/22/2019,06/28/2019,Federal Highway Administration,"USFS, USACE",ND
Great Sand Dunes National Park and Preserve Ungulate Management Plan Abbreviated Final EIS,Final,07/22/2019,06/28/2019,National Park Service,USFWS,CO
Sequoia and Sierra National Forests Land Management Plans Revision,Revised Draft,09/26/2019,06/28/2019,Forest Service,EPA,CA
Domestic Sheep Grazing Permit Renewals,Draft,,06/28/2019,Bureau of Land Management,,CO
Pocasset River Watershed Plan and EIS,Draft,08/12/2019,06/28/2019,Natural Resource Conservation Service,,RI
Mineville Energy Storage Project,Draft,08/12/2019,06/28/2019,Federal Energy Regulatory Commission,,NY
Bucks Creek Hydropower Project,Draft,08/02/2019,06/21/2019,Federal Energy Regulatory Commission,,CA
Draft Eastern Colorado Resource Management Plan & Environmental Impact Statement,Draft,,06/21/2019,Bureau of Land Management,,CO
Programmatic EIS for Fuel Breaks in the Great Basin,Draft,08/05/2019,06/21/2019,Bureau of Land Management,"USFWS, NPS, NRCS",ID - CA - NV - OR - UT - WA
Placer County Conservation Program Environmental Impact Statement/Environmental Impact Report,Draft,08/20/2019,06/21/2019,Fish and Wildlife Service,"EPA, NMFS, USACE",CA
Huckleberry Landscape Restoration Project,Draft,07/31/2019,06/21/2019,Forest Service,,ID
WITHDRAWN - Montanore Evaluation Project,Draft Supplement,08/07/2019,06/21/2019,Forest Service,USACE,MT
Gemfield Mine Project,Final,04/22/2019,06/21/2019,Bureau of Land Management,"EPA, FHWA, USFWS",NV
High Uintas Wilderness Domestic Sheep Analysis Project (Ashley and UWC National Forests),Draft,07/30/2019,06/21/2019,Forest Service,,WY - UT
Burning Man Event Special Recreation Permit,Final,07/15/2019,06/14/2019,Bureau of Land Management,"DHS, EPA",NV
Rossi Mine Expansion Project,Final,07/15/2019,06/14/2019,Bureau of Land Management,USFWS,NV
"Regulation of the Importation, Interstate Movement, and Intrastate Movement of Plant Pests",Final,,06/14/2019,Animal and Plant Health Inspection Service,,REG
Jonah Crab Fishery Management Plan,Final,07/15/2019,06/14/2019,National Oceanic and Atmospheric Administration,,MA - CT - DE - MA - MD - ME - NH - NJ - NY - RI - VA
Yolo Bypass Salmonid Habitat Restoration and Fish Passage,Final,06/20/2019,06/07/2019,Bureau of Reclamation,,CA
"Revisions to USDA-APHIS 7 CFR part 340 Regulations Governing the Importation, Interstate Movement, and Environmental Release of Certain Genetically Engineered Organisms: Draft Programmatic Environmental Impact Statement",Draft,,06/07/2019,Animal and Plant Health Inspection Service,,REG
Draft Environmental Impact Statement/Environmental Impact Report for the Edwards AFB Solar Project,Draft,,06/07/2019,United States Air Force,,CA
Gemini Solar Project Resource Management Plan Amendment and Draft Environmental Impact Statement,Draft,09/05/2019,06/07/2019,Bureau of Land Management,"USACE, NPS, USFWS, EPA, DOD",NV
"East Rockaway Inlet to Rockaway Inlet and Jamaica Bay Reformulation, Atlantic Coast of New York",Final,06/27/2019,05/31/2019,U.S. Army Corps of Engineers,NPS,NY
Tule River Indian Tribe Fee-to-Trust and Eagle Mountain Casino Relocation Project,Final,06/20/2019,05/31/2019,Bureau of Indian Affairs,EPA,CA
Beloit Fee-to-Trust and Casino Project,Final,06/19/2019,05/31/2019,Bureau of Indian Affairs,EPA,WI
Draft Southeastern Oregon RMP/EIS,Draft,08/27/2019,05/31/2019,Bureau of Land Management,USFWS,OR
"Skookumchuck Wind Energy Project Proposed Habitat Conservation Plan and Incidental Take Permit for Marbled Murrelet, Bald Eagle, and Golden Eagle Lewis and Thurston Counties, Washington",Final,06/28/2019,05/31/2019,Fish and Wildlife Service,,WA
Mallows Bay ¿ Potomac River National Marine Sanctuary Designation Final Environmental Impact Statement and Final Management Plan,Final,,05/31/2019,National Oceanic and Atmospheric Administration,USN,MD
DC to Richmond Southeast High Speed Rail,Final,,05/31/2019,Federal Railroad Administration,"FHWA, FTA, USACE",VA
Campo Wind Energy Project with Boulder Brush Facilities,Draft,07/08/2019,05/24/2019,Bureau of Indian Affairs,,CA
ADOPTION - Plaquemines LNG and Gator Express Pipeline Project,Final,,05/24/2019,Department of Energy,,LA
Luna Restoration Project,Final,,05/24/2019,Forest Service,,NM
Four Rivers Field Office Draft Resource Management Plan and Draft Environmental Impact Statement,Draft,08/21/2019,05/24/2019,Bureau of Land Management,,ID
Update of TVA's Natural Resource Plan,Draft Supplement,06/25/2019,05/24/2019,Tennessee Valley Authority,,TN - AL - GA - KY - MS - NC - VA
Detroit Dam Downstream Fish Passage and Temperature Control,Draft,07/23/2019,05/24/2019,U.S. Army Corps of Engineers,"USFWS, NMFS",OR
Shasta Agness Landscape Restoration Project,Draft,07/08/2019,05/24/2019,Forest Service,,OR
Draft Regulatory Amendment to Modify Pelagic Longline Bluefin Tuna Area-Based and Weak Hook Management Measures,Draft,,05/17/2019,National Marine Fisheries Service,,REG
Buffalo Field Office Draft Supplemental EIS and RMP Amendment,Draft Supplement,07/23/2019,05/17/2019,Bureau of Land Management,,WY
Miles City Field Office Draft Supplemental EIS and RMP Amendment,Draft Supplement,07/23/2019,05/17/2019,Bureau of Land Management,,MT
NJ Transitgrid Traction Power System,Draft,07/11/2019,05/17/2019,Federal Transit Administration,"EPA, USACE",NJ
Caldwell Canyon Mine and Reclamation Plan,Final,06/14/2019,05/17/2019,Bureau of Land Management,USACE,ID
Hycroft Mine Phase II Expansion Project,Draft,06/26/2019,05/17/2019,Bureau of Land Management,"EPA, USFWS",NV
Mackay Optimization Project,Draft,06/27/2019,05/17/2019,Bureau of Land Management,"EPA, USFWS",NV
Mt. Rose Ski Tahoe Atoma Area Expansion,Final,,05/17/2019,Forest Service,,NV
Draft Lewistown Resource Management Plan,Draft,08/14/2019,05/17/2019,Bureau of Land Management,USFWS,MT
Missoula Draft Resource Management Plan and Environmental Impact Statement,Draft,08/14/2019,05/17/2019,Bureau of Land Management,USFS,MT
"Tinian Divert Infrastructure Improvements, Commonwealth of the Northern Mariana Islands",Draft Supplement,06/28/2019,05/17/2019,United States Air Force,"FAA, USN",GU
ADOPTION ¿ Rio Grande LNG Project,Final,,05/17/2019,Department of Energy,,TX
Carolina Crossroads I-20/26/126 Corridor Improvement Project,Final,05/22/2019,05/10/2019,Federal Highway Administration,USACE,SC
Central Coast Field Office Proposed Resource Management Plan Amendment and Final Environmental Impact Statement for Oil and Gas Leasing and Development,Final,06/10/2019,05/10/2019,Bureau of Land Management,,CA
Whittier Narrows Dam Flood Control Project Dam Safety Modification Study,Final,06/05/2019,05/10/2019,U.S. Army Corps of Engineers,,CA
"Mobile Harbor, Mobile, Alabama Integrated Final General Evaluation Report with Supplemental Environmental Impact Statement",Final Supplement,07/17/2019,05/10/2019,U.S. Army Corps of Engineers,"DOT, EPA, FEMA, USFWS, USGS, NMFS",AL
Plaquemines LNG and Gator Express Pipeline Project,Final,,05/10/2019,Federal Energy Regulatory Commission,"DOE, DOT, EPA, USACE, USCG",LA
"Central Valley Project Water Supply Contracts Under Public Law 101-514 (Section 206): Contract Between the U.S. Bureau of Reclamation and the El Dorado County Water Agency, Subcontract Between the El Dorado County Water Agency and the El Dorado Irrigation District, and Subcontract Between the El Dorado County Water Agency and the Georgetown Divide Public Utility District",Final,,05/10/2019,Bureau of Reclamation,,CA
Saline Valley Warm Springs Management Plan,Final,,05/10/2019,National Park Service,BLM,CA
"Draft Integrated General Reevaluation Report and Environmental Impact Statement for San Francisco Bay to Stockton, California Navigation Study",Draft,06/24/2019,05/10/2019,U.S. Army Corps of Engineers,,CA
NASA WFF Site-wide Programmatic Environmental Impact Statement,Final,06/10/2019,05/10/2019,National Aeronautics and Space Administration,"EPA, FAA, FHWA, USFWS, NOAA, USCG, USAF, USN",VA
"Adams and Denver Counties, Colorado General Investigation Study",Final,05/30/2019,05/10/2019,U.S. Army Corps of Engineers,,CO
Grant Lake Hydroelectric Project,Final,06/10/2019,05/10/2019,Federal Energy Regulatory Commission,,AK
ADOPTION - Annova LNG Brownsville Project,Final,,05/03/2019,Department of Energy,,TX
ADOPTION - Gulf LNG Liquefaction Project,Final,,05/03/2019,Department of Energy,,MS
Supplemental Draft Environmental Impact Statement for the Haines Amendment to the Ring of Fire Resource Management Plan,Draft Supplement,08/01/2019,05/03/2019,Bureau of Land Management,,AK
Draft Chicago Area Waterway System Dredged Material Management Plan,Draft,07/22/2019,05/03/2019,U.S. Army Corps of Engineers,,IL
Alkali Creek Reservoir Project,Final,06/03/2019,05/03/2019,Bureau of Land Management,"EPA, USFWS, USACE",WY
Rio Grande LNG Project,Final,,05/03/2019,Federal Energy Regulatory Commission,"DOE, DOT, EPA, FAA, USFWS, NOAA, NPS, USACE, USCG",TX
US 340 Improvement Study,Final,,05/03/2019,Federal Highway Administration,,WV
Haiwee Geothermal Leasing Area Draft Supplemental Environmental Impact Statement and Draft Plan Amendment,Draft Supplement,07/31/2019,05/03/2019,Bureau of Land Management,,CA
Leavitt Reservoir Expansion Project,Final,06/03/2019,05/03/2019,Bureau of Land Management,"EPA, USACE",WY
John Wood Forest Management Project,Final,,05/03/2019,Forest Service,,ID
Green Diamond Forest Habitat Conservation Plan,Final,,05/03/2019,Fish and Wildlife Service,,CA
Tonto National Forest Motorized Travel Management,Final,,05/03/2019,Forest Service,,AZ
"ADOPTION - Eagle LNG Partners Jacksonville, LLC Jacksonville Project",Final,,05/03/2019,Department of Energy,,FL
